,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.6777014,3.0976238,9.588523,-0.60913086,0.19043279,0.0,3.4251664,0.13587978,3.2892866,-2.8804932,0.0047140005,0.07662466,-0.071910664,0.95991015
1,0.6680417,2.6528563,9.819216,-0.2930298,0.14448833,0.0,5.2112,4.8005342,0.41066614,-4.020569,0.0034545085,0.07681499,-0.07336048,0.9609878
2,0.6794201,1.8951622,10.7227,-1.3305969,0.053147804,0.0,1.0144,0.8632895,0.15111053,-4.9010925,0.0040607434,0.07228622,-0.06822547,0.9608955
3,0.6809907,1.5691261,11.050481,-2.5194092,0.021451097,0.0,0.0,0.0,0.0,-5.7196655,0.0029606856,0.06980633,-0.06684564,0.9607487
4,0.6793539,1.4750365,11.106743,-2.147644,0.024402784,0.0,1.8030001,1.4539384,0.34906173,-3.8830872,0.004948764,0.07371966,-0.06877089,0.96060586
5,0.6785244,1.5796452,10.995604,-1.4087524,0.03327315,0.0,0.10019999,0.00029558997,0.0999044,-4.5721436,0.0034723636,0.07337986,-0.069907494,0.9608655
6,0.67711717,1.6428646,10.911821,-1.0414124,0.039332718,0.0,0.0,0.0,0.0,-6.318512,0.004479273,0.06944817,-0.0649689,0.96050787
7,0.6747061,1.5547915,10.948366,-2.850525,0.036555834,0.0,0.81119996,0.0,0.81119996,-7.9969788,0.0036293417,0.06494239,-0.061313048,0.9604481
8,0.67120713,1.451137,10.979246,-3.697052,0.036646426,0.0,0.20040002,0.0,0.20040002,-7.6615906,0.0033935553,0.06494187,-0.06154831,0.9603955
9,0.66842586,1.405615,10.96998,-2.377716,0.036736928,0.0,0.7062,0.40032905,0.30587095,-4.5206604,0.0035331715,0.07151841,-0.067985244,0.9603797
10,0.66690934,1.3819959,10.963827,-1.7313538,0.028563648,0.0,0.20039998,0.02861712,0.17178287,-4.02005,0.004051088,0.07274073,-0.068689644,0.9603032
11,0.665158,1.378361,10.93504,-4.931549,0.029422965,0.0,0.60120004,0.50100005,0.10020001,-5.4492493,0.0045167804,0.0677244,-0.06320762,0.96023774
12,0.670895,1.9313772,10.53314,-5.5243225,0.11140984,0.0,16.218601,16.1184,0.10020001,-2.8248901,0.003942471,0.06997394,-0.06603147,0.96018517
13,0.6843224,2.763895,10.015982,-3.6589966,0.17090179,0.0,9.0104,8.867479,0.14292027,-4.1434937,0.003208722,0.07227573,-0.06906701,0.9601325
14,0.68037635,1.3042886,11.282069,-4.452423,0.016473576,0.0,0.0,0.0,0.0,-5.7400208,0.0053796177,0.06893811,-0.06355849,0.96008
