,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.4015205,8.03041,0.0,10.4487915,0.84288913,0.0,1.8185,1.8185,0.0,9.715759,0.00939363,0.17320332,-0.16380969,1.3308667
1,0.43119392,7.1627107,1.3398907,9.93869,0.7355394,0.0,2.6114001,2.6114001,0.0,8.880035,0.009748898,0.17815079,-0.1684019,1.3315151
2,0.45225328,6.844451,2.017964,7.6375732,0.68683803,0.0,9.6642,9.6642,0.0,6.3734436,0.0071528913,0.16134053,-0.15418765,1.3314422
3,0.45627183,6.994357,1.9542004,6.3842163,0.6963855,0.0,8.463399,8.293795,0.16960415,4.7218933,0.0069578877,0.1476675,-0.14070961,1.3313694
4,0.4516163,6.9888906,1.8738302,4.9163513,0.6948815,0.0,2.5860002,1.8888001,0.6972,3.0799255,0.007948408,0.14097783,-0.13302942,1.3312964
5,0.46074978,7.014991,2.0174038,3.8946533,0.6955868,0.0,1.7997999,1.6273923,0.1724076,2.0882874,0.008948659,0.13156968,-0.12262102,1.3312236
6,0.46163535,6.9441323,2.098623,3.3652039,0.69228065,0.0,1.197,0.7407766,0.45622337,2.3209534,0.009071816,0.13263896,-0.12356715,1.3311507
7,0.52555484,5.907703,4.2213125,3.0354614,0.57872206,0.0,2.8846002,2.3866,0.49800003,1.673523,0.007879472,0.13145098,-0.12357151,1.3310777
8,0.5161711,5.9479313,4.0123253,3.9223633,0.5782591,0.0,0.7068,0.23543441,0.4713656,3.6301575,0.008860544,0.13790074,-0.1290402,1.3310049
9,0.49264008,8.05398,1.6495203,3.5827637,0.82795584,0.0,4.5846,4.5846,0.0,5.49057,0.007629302,0.13373318,-0.12610388,1.3309319
10,0.52474815,7.622529,2.6340222,3.8711548,0.7261845,0.0,1.2958,1.2958,0.0,4.892975,0.009567152,0.13741735,-0.12785019,1.330859
11,0.57572186,6.632239,4.476976,5.008301,0.6312076,0.0,4.3849998,4.1529016,0.23209801,6.444275,0.008560632,0.15039608,-0.14183545,1.3307862
12,0.5105406,8.06277,1.9697535,5.9274597,0.84694594,0.0,4.2931995,3.8925428,0.40065688,7.047058,0.010225503,0.15013008,-0.13990457,1.3307135
13,0.46303955,7.609767,1.5139887,4.277832,0.7727545,0.0,0.0,0.0,0.0,3.319519,0.009359375,0.1345589,-0.12519953,1.3306406
14,0.4686924,6.979809,2.1953337,4.6259766,0.69261485,0.0,4.1762,4.1762,0.0,3.3655396,0.009051352,0.13792874,-0.12887739,1.3305676
15,0.45654052,7.211175,1.7603067,4.245697,0.72633517,0.0,1.0004,0.9863711,0.0140289,3.6335144,0.008299647,0.13636711,-0.12806746,1.3304949
16,0.46328244,7.9611955,1.196184,3.5075378,0.82897824,0.0,4.3842,3.053904,1.3302958,2.6163025,0.00679162,0.13001911,-0.12322749,1.330422
