,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.62772506,3.3232613,8.465047,-0.31851196,0.49286416,0.0,1.63425,0.48639286,1.1478572,-4.8847656,0.0031265714,0.07891704,-0.07579047,0.9963298
1,0.6307531,2.3359458,9.425949,-3.9316711,0.36668575,0.0,3.3655,0.5916091,2.773891,-5.9177856,0.0036079455,0.07620878,-0.072600834,0.996282
2,0.64201206,1.0440767,10.817083,-3.8438416,0.19861995,0.0,4.646,0.54405725,4.1019425,-5.3544006,0.0039498326,0.07518485,-0.071235016,0.9962273
3,0.65429246,1.0073969,11.075941,-2.4444275,0.22135462,0.0,4.49075,4.379198,0.111551836,-2.8488464,0.003544956,0.08010003,-0.07655507,0.9961729
4,0.6555062,1.146042,10.971063,-1.9810486,0.22391771,0.0,0.9979999,0.9979999,0.0,-1.6607056,0.005045505,0.08267009,-0.07762459,0.99611825
5,0.6620182,1.7987318,10.491976,-2.8442993,0.35534137,0.0,1.7457501,0.6542722,1.0914779,-3.6634216,0.0047770194,0.07993731,-0.07516029,0.9960637
6,0.6729208,1.3572947,11.096728,-4.2969055,0.26638776,0.0,0.0,0.0,0.0,-6.1591797,0.0045711054,0.07436905,-0.06979795,0.99600923
7,0.67789525,0.68329895,11.806013,-5.3346863,0.0945051,0.0,0.0,0.0,0.0,-8.184937,0.004905415,0.06831135,-0.06340593,0.9959545
8,0.6759603,0.55375147,11.889321,-3.2793884,0.048801407,0.0,0.37425,0.25374773,0.12050226,-4.6142273,0.0046862345,0.076199286,-0.07151305,0.9959001
9,0.6706536,0.77410567,11.589932,-2.6372375,0.08356833,0.0,3.98875,2.4929,1.4958502,-3.6983948,0.0052277073,0.07849938,-0.07327167,0.9958457
10,0.6658947,0.7659137,11.510166,-1.884613,0.11871282,0.0,0.0,0.0,0.0,-3.0852966,0.005472293,0.07970088,-0.074228585,0.995791
11,0.66196346,2.2575037,10.07028,-0.93029785,0.31687552,0.0,0.0,0.0,0.0,-0.06591797,0.0051167244,0.083082356,-0.07796563,0.9957366
12,0.64168924,4.694534,7.463693,0.121795654,0.48868948,0.0,13.960001,13.960001,0.0,2.2393494,0.006414796,0.09417726,-0.08776247,0.995682
13,0.66099095,4.503338,7.993014,-0.520813,0.5414041,0.0,8.9745,8.624029,0.3504702,-2.29422,0.005408368,0.08462558,-0.07921721,0.9956274
14,0.7765822,2.636182,11.825138,-3.2707214,0.3492407,0.0,0.2515,0.018862499,0.23263751,-5.178131,0.005926026,0.07437718,-0.06845115,0.99557304
15,0.7842959,2.824148,11.794244,-3.9020386,0.38250768,0.0,0.0,0.0,0.0,-4.2017517,0.00590476,0.075804375,-0.06989962,0.9955185
16,0.7959709,3.1691692,11.691978,-2.4172058,0.44331867,0.0,8.920751,6.47587,2.4448802,-2.3341675,0.0037483682,0.0795203,-0.075771935,0.99546397
17,0.8144101,1.5672237,13.499136,-3.2330322,0.25685436,0.0,0.12474999,0.0,0.12474999,-5.1176453,0.0041990634,0.073899545,-0.06970048,0.9954094
18,0.818756,1.6651407,13.489051,-5.3213196,0.2460247,0.0,0.0,0.0,0.0,-6.342163,0.004509727,0.07002618,-0.06551646,0.9953549
19,0.8210415,0.23768423,14.839945,-3.3065186,0.015740907,0.0,0.12474999,0.0,0.12474999,-4.2800903,0.006066094,0.07445724,-0.06839115,0.9953004
20,0.81135416,0.4140707,14.500532,-3.786377,0.046032183,0.0,1.8697499,1.8674109,0.0023390627,-5.0222473,0.0038093245,0.072721265,-0.06891194,0.995246
21,0.79793394,1.2149729,13.5199795,-6.156433,0.19344114,0.0,0.12474999,0.0,0.12474999,-8.608856,0.0029289965,0.06390358,-0.060974583,0.99519145
22,0.7819971,2.2855117,12.246013,-4.311737,0.27882332,0.0,0.37425,0.22349587,0.15075414,-5.262146,0.006392413,0.071415946,-0.065023534,0.995137
23,0.7735517,1.6163402,12.704754,-3.0505981,0.2548934,0.0,8.848999,7.0966835,1.752316,-2.7149048,0.0062538004,0.07624143,-0.06998763,0.9950825
24,0.76818436,1.8330221,12.40762,-2.4502869,0.29755816,0.0,31.53275,31.53275,0.0,-0.31307983,0.007383754,0.079848446,-0.07246469,0.9950279
25,0.7669191,1.5089934,12.681549,-2.4364014,0.2813185,0.0,0.87325,0.87325,0.0,-4.3521423,0.0066793878,0.07496829,-0.06828891,0.9949735
26,0.76091975,2.2992437,11.846862,-3.71875,0.25,0.0,4.3757505,3.1192503,1.2565,-4.6411133,0.007055935,0.0734868,-0.06643086,0.99491906
27,0.75586474,2.4592295,11.607447,-2.0595398,0.2583638,0.0,0.2515,0.0,0.2515,-1.6896667,0.0054190625,0.078992456,-0.073573396,0.99486446
28,0.75123084,2.8921175,11.125502,-1.398529,0.39714646,0.0,0.24949998,0.24949998,0.0,-1.1760559,0.005314039,0.07973149,-0.07441745,0.99481004
29,0.7525809,1.6956942,12.247382,-4.1679077,0.28225946,0.0,0.12474999,0.0,0.12474999,-6.3194275,0.0064825946,0.06974326,-0.06326067,0.9947556
30,0.7499338,0.57726794,13.224431,-5.7726746,0.0857518,0.0,0.0,0.0,0.0,-8.025452,0.009161809,0.06502496,-0.05586315,0.994701
31,0.744763,0.18820383,13.486372,-7.993103,0.009388565,0.0,0.0,0.0,0.0,-10.5383,0.0066401586,0.058320552,-0.051680394,0.99464667
32,0.74164283,0.27575347,13.348864,-5.1991577,0.042238615,0.0,0.12575,0.0,0.12575,-6.5162964,0.004468596,0.067390144,-0.06292155,0.9945922
33,0.739516,0.4296046,13.168777,-3.4883728,0.08684939,0.0,0.62874997,0.0,0.62874997,-4.7379456,0.00719208,0.0723134,-0.065121315,0.9945377
34,0.73709655,0.42268467,13.130749,-4.362915,0.087199874,0.0,0.0,0.0,0.0,-4.381134,0.0071179923,0.071741104,-0.06462311,0.99448335
35,0.7360208,0.50516874,13.035381,-1.7547913,0.10368844,0.0,0.12474999,0.11404644,0.01070355,0.61260986,0.00986996,0.08029352,-0.07042356,0.9944288
36,0.7302414,1.7273213,11.808675,-0.35021973,0.24383837,0.0,6.4817505,6.421303,0.060447615,2.008606,0.006900775,0.08346041,-0.07655964,0.9943744
37,0.7309079,0.8641272,12.612447,-1.9379272,0.14981607,0.0,0.37399998,0.021974713,0.35202527,-2.7436829,0.009537225,0.07644812,-0.06691089,0.9943198
38,0.7298148,0.75632566,12.691253,-1.8083801,0.14598286,0.0,2.1275,0.3669922,1.7605078,-2.7069397,0.004909976,0.076710984,-0.07180101,0.99426544
39,0.7292946,0.5694432,12.853084,-3.16333,0.09751102,0.0,0.6235,0.6181046,0.0053954376,-4.313385,0.006335198,0.07222968,-0.065894485,0.994211
40,0.7282391,0.29769793,13.082916,-4.8847046,0.018466271,0.0,0.75450003,0.0,0.75450003,-7.3664856,0.006920525,0.064575724,-0.0576552,0.9941565
41,0.7262665,0.27936152,13.063554,-3.04599,0.016114213,0.0,4.9905,4.979821,0.0106786,-3.2850342,0.0073782597,0.07227505,-0.06489679,0.99410224
42,0.7223158,0.7273256,12.580315,-2.020935,0.1508814,0.0,12.716001,11.298605,1.417396,-1.7078247,0.008583999,0.07603033,-0.06744633,0.99404764
43,0.718838,1.0983394,12.1763115,-3.3982239,0.2591535,0.0,0.374,0.3162969,0.05770311,-4.617157,0.00693606,0.07086475,-0.06392869,0.9939932
44,0.7182282,1.2088999,12.063745,-2.4637146,0.2453951,0.0,2.53725,0.0904518,2.4467983,-4.074829,0.0087671755,0.073090605,-0.06432343,0.99393886
45,0.71919453,1.0750849,12.204175,-1.632019,0.19418211,0.0,0.0,0.0,0.0,-3.8145447,0.010901322,0.07317037,-0.06226905,0.99388444
46,0.72139305,0.4991071,12.772667,-2.8618774,0.10264856,0.0,0.37424996,0.2540908,0.12015919,-3.0107117,0.008573835,0.07201801,-0.063444175,0.99382997
47,0.7191148,0.94127226,12.325418,-1.3558044,0.17712222,0.0,7.28625,1.9242623,5.3619876,0.44110107,0.010121228,0.07892939,-0.06880816,0.9937755
48,0.716301,1.0660532,12.15939,-1.3493958,0.21213266,0.0,0.0,0.0,0.0,-3.5832825,0.012964513,0.07223049,-0.059265975,0.99372125
49,0.71695715,0.6289103,12.572284,-1.0848389,0.11590621,0.0,2.493,2.0368128,0.45618725,-3.845398,0.0051215626,0.072116956,-0.0669954,0.9936667
50,0.7166498,0.58802795,12.6041355,-1.7417297,0.11823898,0.0,0.88100004,0.25003394,0.63096607,-3.751587,0.010712353,0.07225946,-0.06154711,0.99361235
51,0.7158946,0.75079304,12.44103,-2.6921082,0.15520756,0.0,1.99475,1.99475,0.0,-2.8590393,0.008704437,0.07024805,-0.061543614,0.993558
52,0.7139394,1.0952592,12.089296,-2.764923,0.19779003,0.0,0.2495,0.17323409,0.07626591,-0.9225769,0.012452528,0.071787655,-0.059335127,0.9935036
53,0.71145,1.5882679,11.59155,-1.1650391,0.251096,0.0,1.6337498,0.05034285,1.583407,-0.60354614,0.0111425305,0.07717477,-0.06603224,0.9934492
54,0.7089205,1.7521152,11.394912,-0.4526062,0.2832334,0.0,1.49725,0.018768188,1.4784818,-0.60565186,0.01379885,0.07915309,-0.06535424,0.99339473
55,0.7066498,2.2519484,10.89492,-0.08987427,0.3983715,0.0,1.9944999,1.271824,0.7226759,2.8491821,0.011220437,0.08278221,-0.07156177,0.9933404
56,0.70153195,3.495975,9.660287,-0.12786865,0.509852,0.0,0.37424996,0.16197571,0.21227425,2.109436,0.012488121,0.08307667,-0.07058855,0.9932859
57,0.68663275,4.0296216,8.897682,-1.1153259,0.5292523,0.0,1.01525,0.8930948,0.122155204,-0.81640625,0.014084583,0.07831435,-0.064229764,0.99323153
58,0.67838156,4.0757585,8.704047,-1.5913086,0.54701877,0.0,6.9795,6.5314765,0.44802326,-1.9454651,0.008789321,0.07581839,-0.06702907,0.9931771
