,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.42350733,8.470146,0.0,20.545319,0.79226804,0.0,0.0,0.0,0.0,19.424194,0.0066637276,0.26035216,-0.25368842,1.3004802
1,0.43800837,8.760167,0.0,21.969147,0.80259717,0.0,10.29,10.29,0.0,21.562408,0.0059266305,0.28206685,-0.2761402,1.3019868
2,0.46641725,9.328346,0.0,15.909851,0.84722435,0.0,19.895,19.895,0.0,14.720856,0.0047800867,0.22175078,-0.2169707,1.3019104
3,0.4622354,9.244708,0.0,7.073944,0.8568013,0.0,0.25200003,0.25200003,0.0,4.381378,0.005552224,0.1437619,-0.13820969,1.3018444
4,0.4014099,7.9748697,0.04890185,6.9324036,0.7658938,0.0,0.0,0.0,0.0,4.5782166,0.005084665,0.14597008,-0.14088541,1.3017728
5,0.37968636,7.593727,0.0,10.140167,0.72981757,0.0,0.25200003,0.25200003,0.0,8.825439,0.006895354,0.16957419,-0.16267884,1.3017056
6,0.36338902,7.2677803,0.0,11.456268,0.6969296,0.0,0.0,0.0,0.0,10.4270935,0.0053219385,0.17866936,-0.17334743,1.301642
7,0.36329728,7.2659454,0.0,9.7221985,0.69710886,0.0,1.004,1.004,0.0,6.921692,0.004750376,0.1572033,-0.15245293,1.3015965
8,0.36327732,7.2655463,0.0,8.454803,0.6988969,0.0,0.0,0.0,0.0,6.419403,0.0053795245,0.15447113,-0.1490916,1.3015168
9,0.35670197,7.134039,0.0,10.783173,0.6816915,0.0,5.0365,5.0365,0.0,10.368744,0.0057465043,0.17796081,-0.17221431,1.3015257
10,0.4135273,8.270546,0.0,7.754242,0.77945113,0.0,0.25200003,0.25200003,0.0,6.050934,0.0047184215,0.15213042,-0.147412,1.3014752
11,0.41600597,8.32012,0.0,6.0071716,0.79020184,0.0,3.7649999,3.7649999,0.0,4.318573,0.005362751,0.1395882,-0.13422546,1.3013539
12,0.4065069,8.130137,0.0,5.3319397,0.7802766,0.0,0.251,0.18113415,0.06986585,3.7737732,0.007028107,0.13707714,-0.13004903,1.3012207
13,0.3865723,7.632025,0.09116913,6.754303,0.734255,0.0,0.0,0.0,0.0,5.137848,0.0058671283,0.14673512,-0.140868,1.3012027
14,0.36002022,7.200404,0.0,9.312286,0.69141144,0.0,0.0,0.0,0.0,8.000946,0.00699916,0.16210765,-0.15510848,1.3011489
15,0.3587164,7.174328,0.0,11.592865,0.681659,0.0,5.0365,5.0365,0.0,10.226624,0.005791653,0.17471461,-0.16892296,1.3011159
16,0.44688785,8.9377575,0.0,6.600189,0.80811954,0.0,8.563001,8.362119,0.20088181,4.8243103,0.0032007785,0.14169955,-0.13849877,1.3010489
17,0.3823424,7.578367,0.062797025,6.228363,0.718274,0.0,0.0,0.0,0.0,4.439728,0.0057350546,0.13989627,-0.13416122,1.300982
18,0.35306758,7.0612993,4.814487e-05,8.221405,0.6706071,0.0,0.0,0.0,0.0,6.4674683,0.006607705,0.15321037,-0.14660266,1.3010204
19,0.3318085,6.63617,0.0,11.891876,0.6258256,0.0,0.0,0.0,0.0,10.91098,0.0066760313,0.17919137,-0.17251533,1.3009195
20,0.40192658,8.038532,0.0,12.588715,0.7006135,0.0,14.606501,14.606501,0.0,11.035614,0.003631857,0.18126225,-0.1776304,1.3010126
21,0.3680525,7.0639863,0.27240768,8.647003,0.6458536,0.0,0.0,0.0,0.0,7.617035,0.0058886893,0.16126311,-0.15537442,1.300634
22,0.48388657,8.573986,1.0121346,8.776703,0.73140216,0.0,15.561999,15.561999,0.0,7.245453,0.005940915,0.1582481,-0.15230718,1.3004836
23,0.44236228,7.7795324,0.97909313,8.088226,0.7052074,0.0,0.0,0.0,0.0,6.6161194,0.0082474835,0.1533466,-0.14509912,1.3004127
24,0.39698294,7.9379063,0.0016066441,10.626923,0.7645639,0.0,0.0,0.0,0.0,9.692535,0.0075494084,0.17095733,-0.16340792,1.3003933
25,0.38369787,7.673958,0.0,15.917053,0.73952687,0.0,0.50400007,0.50400007,0.0,14.8471985,0.0075194696,0.2083852,-0.20086573,1.3003798
26,0.4072147,8.144295,0.0,13.931305,0.77675056,0.0,3.0124998,3.0124998,0.0,12.556335,0.0065903063,0.19544502,-0.18885471,1.3003919
27,0.46372592,9.274267,0.00023033842,10.868805,0.8457139,0.0,10.29,10.29,0.0,9.566864,0.00660834,0.17009509,-0.16348675,1.300232
28,0.39789236,7.957847,0.0,9.053436,0.76018226,0.0,0.0,0.0,0.0,7.24588,0.005031983,0.15133992,-0.14630793,1.3004463
29,0.36200297,6.954261,0.26207712,6.404297,0.6511781,0.0,0.0,0.0,0.0,4.1455383,0.006466507,0.13571642,-0.12924992,1.3008226
30,0.34194785,6.838957,0.0,9.201569,0.6526131,0.0,0.0,0.0,0.0,7.618225,0.005570888,0.15749425,-0.15192336,1.3006892
31,0.32908666,6.5817337,0.0,15.032715,0.6235372,0.0,0.251,0.251,0.0,13.92099,0.0072289873,0.19748104,-0.19025205,1.3005735
32,0.31067675,6.213535,0.0,10.570526,0.5809122,0.0,0.0,0.0,0.0,9.418701,0.007414586,0.16463831,-0.15722373,1.3010751
33,0.30411464,6.0822926,0.0,10.945953,0.56292874,0.0,2.5185,2.5185,0.0,10.121277,0.009743626,0.16900186,-0.15925823,1.3013247
34,0.42411533,8.4823065,0.0,12.3090515,0.7751014,0.0,24.6795,24.6795,0.0,11.433746,0.0055876486,0.18135504,-0.17576739,1.299902
35,0.45120806,9.02416,0.0,7.865143,0.7822149,0.0,14.1025,14.1025,0.0,6.3730774,0.0041052722,0.1470039,-0.14289863,1.3000166
36,0.47707093,9.069017,0.43319213,8.14093,0.8279867,0.0,2.761,2.761,0.0,6.771759,0.0068504973,0.15015186,-0.14330137,1.3000584
37,0.47740555,9.17022,0.34652624,6.367096,0.85122305,0.0,20.831,20.831,0.0,5.088043,0.007647689,0.13639387,-0.12874618,1.2994144
38,0.49330112,9.866022,0.0,7.000885,0.8864208,0.0,0.251,0.251,0.0,6.1270447,0.009326098,0.14111981,-0.13179371,1.2993432
39,0.4193306,8.386612,0.0,7.842499,0.80157626,0.0,0.0,0.0,0.0,6.18692,0.0069635976,0.14425795,-0.13729435,1.2992721
40,0.44750896,8.950179,0.0,11.947479,0.81125265,0.0,13.803499,13.803499,0.0,10.60025,0.0077576595,0.17248113,-0.16472347,1.299238
41,0.40832385,8.166477,0.0,13.153778,0.7717027,0.0,0.0,0.0,0.0,12.227478,0.007564665,0.1833773,-0.17581263,1.2993066
42,0.4130538,8.261076,0.0,15.718201,0.7520455,0.0,19.828001,19.828001,0.0,14.985992,0.006773515,0.19920349,-0.19242997,1.2995466
43,0.4298106,8.596212,0.0,10.932404,0.75797075,0.0,1.004,1.004,0.0,9.321442,0.0072247516,0.16198887,-0.15476412,1.2996051
44,0.36096257,7.2192507,0.0,6.927185,0.6671194,0.0,0.0,0.0,0.0,4.5071716,0.0069398284,0.13314362,-0.12620379,1.301251
45,0.33639112,6.630739,0.08902506,5.702606,0.6048588,0.0,0.0,0.0,0.0,3.8735657,0.0073827594,0.13117929,-0.12379653,1.2997941
46,0.33985078,6.7912273,0.005307775,6.8513184,0.61492693,0.0,2.7605,2.6042776,0.15622239,5.33902,0.0070569664,0.13843888,-0.13138191,1.3000879
