Site,Fll Name,SOC,ANPP,TSOI,CLAY,LIG,N,CN,lig_N,grav_moisture,theta_liq,theta_frzn,VWC_provenance,,"All data from Table C1 in Wieder et al., 2015 excpet soil VWC which is from description in column N"
ARC,Arctic,4.9,141,-7,5,16.6,1.37,36.49635036,12.11678832,35,0.24,0.33,https://doi.org/10.6073/pasta/28a01293b4e1e47f9477118bd360ce4c,,
BNZ,Bonanza,6.5,300,-5,5,25.6,0.96,52.08333333,26.66666667,35,0.14,0.25,https://doi.org/10.6073/pasta/62793c4fbd758bdcfd217abd11cb81fc,,
NWT,Niwot,7.1,199,-3.7,23,16.6,1.37,36.49635036,12.11678832,35,0.24,0.25,LTER data processed by Katya,,
HBR,Hubbard Brook,8.9,704,5,3,21,1.02,49.01960784,20.58823529,35,0.21,0.15,MSBio for BART,,
CDR,Cedar Creek,2.5,277,5.5,4,16.6,1.37,36.49635036,12.11678832,35,0.13,0.05,BioCON master datasheet,,
HFR,Harvard Forest,4.6,744,7.1,15,21,1.02,49.01960784,20.58823529,35,0.24,0.15,MSBio for HARV,,
AND,Andrews Forest,6.5,800,8.6,11,24.4,0.73,68.49315068,33.42465753,35,0.24,0.15,https://doi.org/10.6073/pasta/d4764b05a9aa95f7cfc5514dfcacc6a3,,
SGS,Shortgraa Steppe,1.6,116,8.90000001,24,16.6,1.37,36.49635036,12.11678832,35,0.17,0.05,from SGS data collected during Soils and Global Change course at CSU in 2021,,
KBS,Kellog Biological Station,4,431,9.7,17,21,1.02,49.01960784,20.58823529,35,0.21,0.05,https://doi.org/10.6073/pasta/c926af76b81e6849b8b2ec044d724126; BD from https://doi.org/10.6073/pasta/2efa76018ad123597e9f76e199723fc7,,
CWT,Coweeta,3.9,1460,12.5,17,21,1.02,49.01960784,20.58823529,35,0.28,,https://doi.org/10.6073/pasta/56ad31996418241985cc288e2235a427,,
KNZ,Konza,4.6,443,12.8,39,16.6,1.37,36.49635036,12.11678832,35,0.18,0.05,Katie's Konza data form PhD,,
JRN,Jornada,0.65,229,14.6,10,16.6,1.37,36.49635036,12.11678832,35,0.08,,https://doi.org/10.6073/pasta/2e37c18c14eea1d1e4fccb35ed944e65,,
SEV,Sevilleta,0.4,184,16,12,16.6,1.37,36.49635036,12.11678832,35,0.12,,https://doi.org/10.6073/pasta/9e9f235128c82a46bb073589d91c6989,,
LUQ,Luquillo,4.1,1050,23,32,17.8,0.95,52.63157895,18.73684211,35,0.42,,https://doi.org/10.6073/pasta/bec4409fc5222822e43c48ed0cbc9514,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,** theta frozen is really powerful so just tried to create a proportional reduction based on site differences but all seemingly low,,
