Site,Fll Name,SOC,ANPP,TSOI,CLAY,LIG,N,CN,lig_N,grav_moisture,theta_liq,theta_frzn
ARC,Arctic,4.9,141,-7,5,16.6,1.37,36.49635036,12.11678832,35,0.24,0.1
BNZ,Bonanza,6.5,300,-5,5,25.6,0.96,52.08333333,26.66666667,35,0.14,0.07
NWT,Niwot,7.1,199,-3.7,23,16.6,1.37,36.49635036,12.11678832,35,0.24,0.07
HBR,Hubbard Brook,8.9,704,5,3,21,1.02,49.01960784,20.58823529,35,0.21,0.03
CDR,Cedar Creek,2.5,277,5.5,4,16.6,1.37,36.49635036,12.11678832,35,0.13,0.01
HFR,Harvard Forest,4.6,744,7.1,15,21,1.02,49.01960784,20.58823529,35,0.24,0.03
AND,Andrews Forest,6.5,800,8.6,11,24.4,0.73,68.49315068,33.42465753,35,0.24,0.03
SGS,Shortgraa Steppe,1.6,116,8.90000001,24,16.6,1.37,36.49635036,12.11678832,35,0.17,0.01
KBS,Kellog Biological Station,4,431,9.7,17,21,1.02,49.01960784,20.58823529,35,0.21,0.01
CWT,Coweeta,3.9,1460,12.5,17,21,1.02,49.01960784,20.58823529,35,0.28,0
KNZ,Konza,4.6,443,12.8,39,16.6,1.37,36.49635036,12.11678832,35,0.18,0.01
JRN,Jornada,0.65,229,14.6,10,16.6,1.37,36.49635036,12.11678832,35,0.08,0
SEV,Sevilleta,0.4,184,16,12,16.6,1.37,36.49635036,12.11678832,35,0.12,0
LUQ,Luquillo,4.1,1050,23,32,17.8,0.95,52.63157895,18.73684211,35,0.42,0
