,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.47097445,9.037732,0.35007104,3.8918457,0.87357897,0.0,2.1833332,2.1833332,0.0,3.2696838,0.00641031,0.09920043,-0.09279012,0.9694061
1,0.50171405,7.8654785,1.9887909,4.226227,0.72741234,0.0,7.8494,6.112195,1.7372049,1.3467407,0.005156071,0.09777282,-0.09261675,0.9685308
2,0.5165013,7.6090226,2.4951606,3.6517944,0.6586027,0.0,5.7212,5.7212,0.0,1.371521,0.0059298975,0.09473406,-0.08880416,0.9684862
3,0.505463,7.4775553,2.413274,2.479309,0.66119015,0.0,5.2205997,3.979724,1.2408756,0.5214844,0.0034805608,0.08963736,-0.0861568,0.96829844
4,0.5221249,5.3947525,4.6287823,0.8468933,0.4298884,0.0,3.2366,3.2366,0.0,-1.7110901,0.0053389557,0.08301113,-0.07767217,0.96824545
5,0.5244092,3.96215,5.984373,-1.0144958,0.24810323,0.0,4.8276,4.293297,0.53430307,-4.4281006,0.004221267,0.0748049,-0.070583634,0.96819234
6,0.49886227,4.338248,5.1709604,-0.6843262,0.31044486,0.0,0.0984,0.0984,0.0,-3.4049683,0.005751507,0.07785062,-0.07209911,0.9681394
7,0.48446536,4.2069407,5.0273304,-2.2176208,0.3072255,0.0,0.1968,0.0,0.1968,-4.470886,0.004386214,0.07248041,-0.068094194,0.96808636
8,0.47627288,3.6343179,5.402175,-1.1487122,0.22313085,0.0,1.3364,0.46975487,0.86664516,-1.4129944,0.0069771595,0.080852024,-0.07387486,0.9680334
9,0.46613723,3.1703317,5.6417623,-1.0294495,0.18808037,0.0,3.7856002,3.4958532,0.28974694,-0.43774414,0.0068621957,0.08275756,-0.07589537,0.9684367
10,0.4636271,3.8503509,4.9721494,-1.809845,0.2958321,0.0,0.59940004,0.2549024,0.34449765,-2.7487183,0.00674374,0.07734221,-0.070598476,0.96792734
