"","site","plot","time.point","material","species","site.sp","perc_decomp_T1","perc_decomp_T2","LIG_N","N.per","Lig.mean","vwc.avg","MAT","Copiotroph2","Oligotroph2","C_O","r_K","CO.eggo","CO.genus.eggo","mean.CO"
"1","BART",3,0,"soil","ACRU","BART.ACRU",0.398469456,0.525804478,51,0.3,15.3,22.5,6.2,2078,369,1.52845528455285,0.45385450597177,4.37037037037037,2.40680473372781,2.1898712236557
"2","BART",8,0,"soil","TSCA","BART.TSCA",0.17166132,0.483654756,17,1,17,15.7333333333333,6.2,2174,273,2.40659340659341,0.535211267605634,6.88709677419355,2.26889534883721,3.02444919930745
"3","BART",9,0,"soil","TSCA","BART.TSCA",0.149832036,0.409532346,15.4545454545455,1.1,17,15.0444444444444,6.2,2073,374,1.62566844919786,0.692592592592593,4.75,2.1271186440678,2.29884492146456
"4","BART",11,0,"soil","FAGR","BART.FAGR",0.178086623,0.350457052,39.8333333333333,0.6,23.9,9.55,6.2,2082,365,1.84657534246575,0.844025157232704,4.70754716981132,2.40634920634921,2.45112421896475
"5","BART",17,0,"soil","ACRU","BART.ACRU",0.285751969,0.512831819,30.6,0.5,15.3,22.7555555555556,6.2,2114,333,1.71771771771772,0.687242798353909,4.70731707317073,1.81067344345616,2.23073775817463
"6","BART",21,0,"soil","ACRU","BART.ACRU",0.37789687,0.481094081,30.6,0.5,15.3,18.8888888888889,6.2,2030,417,1.60671462829736,0.441758241758242,6.44444444444444,1.42735042735043,2.48006693546262
"7","BART",23,0,"soil","ACRU","BART.ACRU",0.375905547,0.585910571,51,0.3,15.3,23.8888888888889,6.2,2020,427,1.36299765807963,0.560659599528857,5.72222222222222,2.4,2.51146986995768
"8","BART",26,0,"soil","TSCA","BART.TSCA",0.204984462,0.45629337,17,1,17,26.1777777777778,6.2,1933,514,0.970817120622568,0.701149425287356,2.57668711656442,3.48033126293996,1.93224623135358
"9","GRSM",1,0,"soil","QUMO","GRSM.QUMO4",0.402658548,0.495504833,25,1,25,18.2888888888889,13.1,2035,412,1.38106796116505,1.02439024390244,4.67441860465116,2.06181318681319,2.28542249913296
"10","GRSM",4,0,"soil","LITU","GRSM.LITU",0.459202482,0.607713764,18.8571428571429,0.7,13.2,21.4777777777778,13.1,2061,386,1.86528497409326,0.533672172808132,6.8448275862069,1.70679380214541,2.73764463381343
"11","GRSM",5,0,"soil","QUMO","GRSM.QUMO4",0.469547058,0.611455155,41.6666666666667,0.6,25,15.0666666666667,13.1,2031,416,1.66826923076923,0.677345537757437,5.58974358974359,2.4083850931677,2.58593586285949
"12","GRSM",8,0,"soil","QUMO","GRSM.QUMO4",0.442488606,0.611721141,41.6666666666667,0.6,25,20.2777777777778,13.1,1956,491,1.15274949083503,0.649664429530201,2.75,1.80079155672823,1.58830136927337
"13","GRSM",11,0,"soil","ACRU","GRSM.ACRU",0.654903822,0.501002983,24.8,0.5,12.4,21.975,13.1,1713,734,0.637602179836512,0.564935064935065,1.36231884057971,2.95983935742972,1.38117386069525
"14","HARV",1,0,"soil","ACRU","HARV.ACRU",NA,0.495232845,19.875,0.8,15.9,47.9,7.4,1787,660,0.727272727272727,0.486984815618221,1.03614457831325,2.47108843537415,1.18037263914459
"15","HARV",9,0,"soil","PIST","HARV.PIST",0.219390262,0.465547344,76,0.4,30.4,15.4,7.4,2080,367,1.74659400544959,0.568326947637292,5.91891891891892,1.25711382113821,2.372738423286
"16","HARV",28,0,"soil","PIST","HARV.PIST",0.150153479,0.405508287,60.8,0.5,30.4,24.9,7.4,2220,227,3.29074889867841,0.606862745098039,6.68674698795181,2.20650636492221,3.19771624916262
"17","HARV",31,0,"soil","PIST","HARV.PIST",0.202770771,0.365840226,50.6666666666667,0.6,30.4,20.2777777777778,7.4,2132,315,2.16825396825397,0.533333333333333,3.62595419847328,1.50758459743291,1.95878152437337
"18","HARV",36,0,"soil","ACRU","HARV.ACRU",0.310738926,0.498130825,26.5,0.6,15.9,56.9,7.4,1928,519,0.739884393063584,0.292114695340502,0.554702495201535,4.07299270072993,1.41492357108389
"19","LENO",1,0,"soil","QUPA","LENO.QUPA5",0.293757303,0.594073292,40,0.9,36,34.0777777777778,18.1,2031,416,0.838942307692308,0.644295302013423,1.92361111111111,2.7863436123348,1.54829808328791
"20","LENO",2,0,"soil","LIST","LENO.LIST2",NA,NA,39.2,0.5,19.6,24.0888888888889,18.1,2095,352,1.44034090909091,0.633532934131737,1.95588235294118,3.39956331877729,1.85732987873528
