,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.16317715,3.0344334,0.21009324,15.103699,0.7127769,1.638953,0.24716668,0.24716668,0.0,18.89215,5.2424393,3.9868784,1.2555609,1.986012
1,0.15878895,3.14302,0.030040124,14.791504,0.76210976,3.0980196,0.2008,0.2008,0.0,17.216278,5.606157,3.7630453,1.8431115,1.9018002
2,0.14149545,2.8299088,0.0,15.822571,0.7335488,3.0801408,0.0,0.0,0.0,17.319916,5.3793344,3.8311522,1.5481822,1.9029982
3,0.14486116,2.8972232,0.0,16.030426,0.73375285,3.0617244,6.4263997,6.4263997,0.0,16.716553,5.286827,3.8146286,1.4721985,1.9044832
4,0.14996396,2.953173,0.04227941,14.143127,0.73733294,3.0430977,6.1751995,6.1751995,0.0,13.618011,4.6463933,3.38795,1.2584434,1.905365
5,0.14986658,2.9782977,0.017453982,12.585785,0.74576324,3.0236657,0.0,0.0,0.0,11.288239,5.3863287,3.0462856,2.340043,1.9062016
6,0.13946834,2.7893665,0.0,11.644348,0.7208888,3.0069213,0.0,0.0,0.0,11.235168,5.723015,2.913908,2.8091068,1.9075892
7,0.13373561,2.674712,0.0,12.567383,0.70287716,2.9915555,0.0,0.0,0.0,13.1409,5.8480325,3.1431236,2.7049088,1.9091109
8,0.12930718,2.5861435,0.0,13.222137,0.6864312,2.9763627,0.10000001,0.10000001,0.0,13.494965,5.603196,3.151813,2.451383,1.9107524
9,0.1256806,2.513612,0.0,14.421051,0.6741283,2.960236,0.0,0.0,0.0,14.62796,5.3369384,3.1298895,2.207049,1.9116225
10,0.12865786,2.5731573,0.0,14.639343,0.67869604,2.9431329,1.004,1.004,0.0,14.470825,5.0337043,3.1293464,1.9043579,1.9127765
11,0.12487588,2.4975178,0.0,14.658173,0.66514486,2.9255567,0.30119997,0.30119997,0.0,15.088806,5.654863,3.2335615,2.4213014,1.9139625
12,0.12429519,2.4859037,0.0,15.983551,0.6574327,2.909521,1.1046,1.1046,0.0,17.193085,5.340504,3.4943376,1.8461666,1.9149227
13,0.12279414,2.4558825,0.0,15.435181,0.6504214,2.8929229,0.299,0.299,0.0,15.520966,5.3854837,3.4895296,1.8959541,1.9156857
14,0.11878796,2.3757591,0.0,12.898712,0.6355867,2.8763099,0.0,0.0,0.0,12.18158,5.4012003,3.1452432,2.2559571,1.917483
15,0.114723824,2.2944765,0.0,12.608978,0.61797625,2.86034,0.20000002,0.20000002,0.0,12.676239,5.3351293,3.1536736,2.1814556,1.9184793
16,0.13152806,2.6305614,0.0,12.893463,0.6981529,2.8440933,3.0216,3.0216,0.0,12.5720825,5.40181,3.1714954,2.2303147,1.9202878
17,0.13336143,2.6672285,0.0,12.110901,0.73318213,2.8287873,0.0,0.0,0.0,11.599884,5.709517,2.971356,2.738161,1.921806
18,0.12709782,2.5371869,0.004373588,10.895081,0.7118405,2.814885,0.0,0.0,0.0,10.9322815,6.0214434,3.0268402,2.9946032,1.922293
19,0.12218709,2.4437418,0.0,12.197266,0.6950762,2.802084,0.19920002,0.19920002,0.0,13.692841,6.0561028,3.253134,2.8029687,1.9237733
20,0.13842934,2.7685869,0.0,12.913055,0.7279916,2.78906,7.3758,7.3758,0.0,13.139404,5.825468,3.2041833,2.6212847,1.9248569
21,0.12818171,2.5636342,0.0,12.573486,0.7054999,2.7745132,0.0,0.0,0.0,11.134552,4.9766483,2.9325404,2.044108,1.925496
22,0.12512769,2.5025537,0.0,12.79364,0.69721615,2.7573042,0.3024,0.3024,0.0,11.427734,4.575324,2.9454095,1.6299145,1.9262843
23,0.13133875,2.626775,0.0,14.285736,0.712046,2.7393289,1.8064001,1.8064001,0.0,14.069,4.8584447,3.2265153,1.6319294,1.9264544
24,0.13867798,2.77356,0.0,13.779144,0.72702634,2.7229972,7.3767996,7.3767996,0.0,13.977875,5.7528005,3.4175096,2.335291,1.9270159
25,0.13100651,2.62013,0.0,13.668976,0.71366274,2.7097287,0.0,0.0,0.0,13.297455,5.744128,3.3191705,2.4249578,1.9294112
26,0.13446932,2.6893864,0.0,12.951508,0.7293824,2.6963637,0.90680003,0.90680003,0.0,12.800934,5.4569073,3.1945562,2.262351,1.9301344
27,0.14059578,2.8119156,0.0,14.4357605,0.7295068,2.6808805,9.7704,9.7704,0.0,14.403412,4.101898,3.306137,0.7957611,1.930075
28,0.14885423,2.9770844,0.0,14.116486,0.7572228,2.6632957,6.9978004,6.9978004,0.0,13.196075,5.947966,3.2573895,2.6905766,1.9318645
