,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.5111361,9.580984,0.58847326,5.427124,0.7065711,0.0,1.7633336,1.7633336,0.0,4.6884766,0.005925346,0.09818177,-0.09225643,0.96904707
1,0.4903012,8.931753,0.80170614,5.446594,0.63379645,0.0,0.29839998,0.10119999,0.1972,3.9045105,0.00584082,0.09900996,-0.09316914,0.96948856
2,0.49235043,8.47743,1.2559026,4.844574,0.56077224,0.0,0.7926001,0.75630546,0.03629466,4.012207,0.006628316,0.09647207,-0.08984375,0.9694717
3,0.4841137,8.416109,1.1610725,3.7329712,0.55398315,0.0,1.0018,1.0018,0.0,2.4213257,0.004358552,0.09136413,-0.08700558,0.96941525
4,0.49663725,7.5875573,2.1505375,3.1392822,0.44369942,0.0,2.1252,2.1252,0.0,1.9493103,0.004517416,0.09163923,-0.087121814,0.9694755
5,0.49885726,7.88017,1.9229271,2.337494,0.47966284,0.0,1.8216,1.8216,0.0,0.10916138,0.0053512687,0.08501461,-0.079663344,0.96931905
6,0.48063177,8.298466,1.2050936,2.798645,0.54736733,0.0,0.4074,0.4074,0.0,1.4609985,0.006560494,0.08733432,-0.08077382,0.96916497
7,0.49360704,7.4364195,2.2335565,0.24038696,0.44151658,0.0,0.0,0.0,0.0,-2.343689,0.004762768,0.07665195,-0.071889184,0.969112
8,0.5160347,6.7595453,3.265575,0.41796875,0.35727322,0.0,0.3036,0.24730244,0.056297563,-0.32147217,0.005662718,0.081760675,-0.07609796,0.9690589
9,0.5194517,6.230413,3.8134549,0.497406,0.27605626,0.0,0.712,0.712,0.0,1.6874084,0.005018207,0.08430714,-0.07928894,0.9691091
10,0.5418941,6.7573595,3.7418396,0.4885559,0.34030902,0.0,0.10119999,0.10119999,0.0,1.3280334,0.007188283,0.08312423,-0.075935945,0.9692332
11,0.540561,7.0803466,3.4212105,2.1539001,0.4030277,0.0,0.0,0.0,0.0,2.9677734,0.006652662,0.09338444,-0.08673178,0.96900433
12,0.541697,7.327736,3.2151895,5.4138184,0.42864847,0.0,14.268399,14.268399,0.0,5.8441772,0.0071352078,0.10959154,-0.10245634,0.9688466
