,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.1764584,3.5285065,0.0006065759,7.0305176,0.7338609,0.0,1.5,1.5,0.0,5.482483,0.008994315,0.12903066,-0.12003635,1.1580422
1,0.22017343,3.094255,1.2005488,6.0027466,0.61461365,0.0,5.0499997,4.905671,0.1443288,4.9541626,0.006662135,0.12974977,-0.12308764,1.1580074
2,0.2336206,3.2710292,1.2850678,5.64682,0.6273602,0.0,4.042,4.042,0.0,4.9253235,0.007679506,0.12824908,-0.12056957,1.1579366
3,0.23090716,3.2738273,1.2327375,4.863495,0.6331459,0.0,5.5551996,3.3125277,2.242672,3.9412537,0.005983648,0.12241014,-0.11642649,1.1578758
4,0.24915269,3.113629,1.7142622,4.1302185,0.60996974,0.0,2.1908,2.089,0.101799995,3.0272827,0.006963365,0.11820564,-0.11124227,1.1578118
5,0.22471276,3.2334614,1.1561475,3.1243286,0.6263022,0.0,2.4006,2.2988,0.101799995,1.6886902,0.006943522,0.11325295,-0.10630943,1.1577448
6,0.21001825,2.977655,1.1212252,3.3509216,0.59956133,0.0,0.0,0.0,0.0,2.4513245,0.008545806,0.11553609,-0.106990285,1.1576816
7,0.20668165,2.8676531,1.1609037,1.0435791,0.58606666,0.0,1.4992,0.94523907,0.5539609,-0.23983765,0.006028164,0.102908626,-0.096880466,1.1576184
8,0.25443408,2.6377985,2.24746,1.3034363,0.52526414,0.0,0.99600005,0.8538589,0.14214115,0.066101074,0.0073857773,0.10380024,-0.09641446,1.1575549
9,0.22824654,3.1731424,1.2762702,2.916748,0.65371025,0.0,3.5442,3.5442,0.0,2.815216,0.0062652966,0.1109702,-0.1047049,1.1574987
10,0.1829741,3.5506816,0.09976967,3.1148376,0.7352803,0.0,0.5092,0.5092,0.0,2.804657,0.009556921,0.109960705,-0.100403786,1.157436
11,0.24476543,2.6610212,2.0488415,3.946289,0.5591401,0.0,0.0,0.0,0.0,3.8007507,0.008895963,0.117419615,-0.10852365,1.157374
12,0.24068668,3.27809,1.4081852,6.063446,0.6540226,0.0,4.8658,4.8658,0.0,6.374939,0.008221705,0.13064192,-0.122420214,1.1573026
13,0.2373894,3.3166137,1.3123871,4.4885254,0.6793354,0.0,0.99180007,0.99180007,0.0,4.1958313,0.008053189,0.11682668,-0.10877349,1.1572416
14,0.29048255,2.5792449,2.9622827,2.6460571,0.52217215,0.0,0.29839998,0.29839998,0.0,1.6499939,0.009103757,0.10757099,-0.09846723,1.1571767
15,0.29062024,2.176086,3.3345046,1.8926086,0.43366617,0.0,0.10000001,0.10000001,0.0,0.5437927,0.007513475,0.10438011,-0.09686663,1.1571163
