,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.19948359,3.9896717,0.0,14.80484,0.69422245,1.396164,0.0,0.0,0.0,12.629822,3.6402702,3.71562,-0.07534981,2.7867088
1,0.18517545,3.703509,0.0,13.784302,0.65417796,1.3875306,0.803,0.803,0.0,11.840912,3.7389479,3.6893327,0.049615145,2.7816153
2,0.20486255,4.097251,0.0,11.344421,0.6748536,1.3785865,16.478998,16.478998,0.0,8.562958,2.4308016,3.1184292,-0.68762755,2.7813234
3,0.20226088,4.0452175,0.0,9.63739,0.6768783,1.3669019,6.082,6.082,0.0,6.2135925,2.2457204,2.8303647,-0.5846443,2.7809992
4,0.18509701,3.70194,0.0,8.885834,0.65082914,1.3552754,0.101399995,0.101399995,0.0,6.4701843,3.3803587,2.8146892,0.56566954,2.7807114
5,0.17378786,3.4729602,0.0025648815,7.8561096,0.6297647,1.3456984,0.0,0.0,0.0,6.0152283,3.8399677,2.680647,1.1593208,2.780413
6,0.16879384,3.375877,0.0,8.152863,0.6200846,1.3372636,0.4006,0.4006,0.0,8.014313,3.9528227,2.7527437,1.200079,2.7800913
7,0.16813807,3.3627613,0.0,8.247803,0.6192037,1.3288646,1.004,1.004,0.0,6.7824707,3.3268054,2.7125065,0.6142988,2.7798147
8,0.1884847,3.7696939,0.0,8.968445,0.6573002,1.3193303,5.9328003,5.6348944,0.29790607,8.044281,3.6198058,2.8664315,0.75337434,2.779524
9,0.19524637,3.9049275,0.0,9.535309,0.66288406,1.3105885,9.434,9.434,0.0,9.675446,3.4525902,3.0193238,0.4332664,2.779614
10,0.18547589,3.7095177,0.0,9.336639,0.6567024,1.3016719,0.2008,0.2008,0.0,8.842926,3.622528,3.0502577,0.5722704,2.7796614
11,0.19608057,3.9216113,0.0,9.832184,0.67559034,1.2925307,7.8985996,7.695591,0.2030088,9.768066,3.5832663,3.2252512,0.35801506,2.779513
12,0.19945538,3.9891076,0.0,9.516296,0.68537676,1.2836905,1.8102,1.8102,0.0,7.972748,3.347326,2.9708905,0.37643552,2.7795894
13,0.18886311,3.7772622,0.0,8.437714,0.66132635,1.275049,4.2626,4.2626,0.0,6.5617676,3.4344263,2.8370848,0.59734154,2.7779977
14,0.196269,3.92538,0.0,8.28244,0.6678129,1.2666712,6.901201,6.901201,0.0,7.4212036,3.300137,2.8982415,0.40189552,2.777444
15,0.1843343,3.686686,0.0,8.906372,0.65221536,1.2585037,2.2092,2.2092,0.0,8.699799,3.908938,3.011003,0.8979349,2.7778873
16,0.20075408,4.01508,1.606956e-06,7.864929,0.67375785,1.2508311,9.115801,8.47579,0.6400105,6.5103455,3.2145903,2.7777035,0.4368868,2.7769935
17,0.18238376,3.5073647,0.12866493,6.517395,0.6322203,1.241966,0.0,0.0,0.0,3.9702454,3.4270658,2.5695581,0.8575077,2.7761397
18,0.18374132,3.1254323,0.5037945,7.4431763,0.57354677,1.2341506,0.6074,0.6074,0.0,6.474518,3.7903233,2.7884114,1.0019119,2.7757592
19,0.18618165,3.3951783,0.30119282,8.585083,0.6176352,1.2268021,0.60859996,0.60859996,0.0,9.2430725,3.9652047,3.0212865,0.9439182,2.7753778
20,0.1818622,3.637244,0.0,7.80365,0.6415399,1.2198594,3.5046,3.5046,0.0,6.0570984,3.5491138,2.870442,0.67867184,2.7760901
21,0.17308038,3.4616077,0.0,5.9999695,0.6291088,1.2128798,0.70280004,0.70280004,0.0,4.441986,3.3100955,2.6127539,0.6973417,2.7756765
22,0.19301686,3.860337,0.0,6.697815,0.6662816,1.2045662,5.4244003,5.4244003,0.0,6.231842,3.43137,2.7722197,0.65915036,2.7759345
23,0.20741308,4.1482615,0.0,8.195068,0.7197583,1.1964443,10.5104,10.5104,0.0,7.76947,3.8458223,2.9444237,0.90139866,2.7742987
24,0.23424551,4.6849103,0.0,8.327545,0.8342692,1.1913531,2.3140001,2.3140001,0.0,8.039764,4.854628,3.0265226,1.8281054,2.7737527
25,0.21936771,4.3873544,0.0,8.92569,0.805974,1.1883413,0.2008,0.2008,0.0,9.089294,4.80525,3.212151,1.5930991,2.7735271
26,0.21764007,4.3528013,0.0,8.678375,0.7972221,1.1850827,3.4126,3.4126,0.0,8.912689,4.8289185,3.1581979,1.6707206,2.7731273
27,0.22487536,4.497507,0.0,9.330536,0.80503607,1.1811578,7.8356,7.8356,0.0,9.66391,4.3931394,3.2035954,1.189544,2.7726324
28,0.22887087,4.5774174,0.0,9.248138,0.81371987,1.1763752,4.4254003,4.4254003,0.0,9.440735,4.7509794,3.1961553,1.5548241,2.7726111
29,0.21621986,4.324397,0.0,8.183441,0.79570025,1.1720529,1.0022001,1.0022001,0.0,6.31604,4.2342677,2.8477964,1.3864713,2.7731333
30,0.20425518,4.085103,0.0,6.7730103,0.7719808,1.167471,0.0,0.0,0.0,6.0747986,5.152908,2.7781615,2.3747463,2.7728713
31,0.20288284,4.0576563,0.0,8.359589,0.76627374,1.1663842,1.3050001,1.3050001,0.0,9.968353,5.792529,3.2674978,2.5250313,2.7725074
32,0.19671622,3.9343247,0.0,9.283356,0.7534916,1.1666505,0.40579998,0.40579998,0.0,9.690063,5.1978674,3.333414,1.8644533,2.7740197
33,0.20285949,4.0571904,0.0,8.914124,0.7643143,1.1645044,2.9085999,2.9085999,0.0,8.718597,4.8222575,3.2108068,1.6114507,2.7731462
34,0.2176744,4.353488,0.0,9.45224,0.7841412,1.1610696,8.1096,8.1096,0.0,10.4711,5.0530696,3.380843,1.6722267,2.7701135
35,0.22473082,4.4946165,0.0,11.217041,0.7902923,1.1585765,16.993,16.993,0.0,12.817902,4.2986298,3.6144853,0.6841445,2.769649
36,0.22027616,4.405523,0.0,12.66156,0.79907525,1.1533701,2.5314,2.5314,0.0,13.526886,4.9358635,3.906464,1.0293994,2.769125
37,0.24417019,4.883404,0.0,11.998627,0.83669376,1.1501904,18.2362,18.2362,0.0,11.94928,4.905944,3.714899,1.1910448,2.769382
38,0.24295571,4.8591146,0.0,11.074738,0.8362649,1.146626,12.676002,12.6204605,0.05554109,9.927734,4.2699833,3.4336877,0.8362956,2.7694407
39,0.21885386,4.377077,0.0,9.033783,0.7986991,1.1421355,0.20139998,0.20139998,0.0,7.337494,5.446583,3.0447657,2.401817,2.7717764
