,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.26718208,0.68684167,4.270285,-5.867035,0.042977646,0.0,0.0835,0.0,0.0835,-8.751709,0.0024000835,0.054578647,-0.05217856,0.79410255
1,0.2636147,0.4769861,4.397298,-10.3246765,0.00019562861,0.0,0.0,0.0,0.0,-13.248322,0.0016820682,0.04528958,-0.04360751,0.79398656
2,0.26265195,0.44657534,4.407527,-9.587555,0.0,0.0,0.0,0.0,0.0,-10.544403,0.0019901574,0.050679855,-0.048689697,0.7939429
3,0.26167718,0.43440956,4.4008055,-7.6499023,0.0,0.0,0.10020001,0.0,0.10020001,-8.748932,0.002552689,0.05394177,-0.051389083,0.79389966
4,0.26034823,0.5029514,4.31358,-7.0856323,0.015768537,0.0,0.0,0.0,0.0,-7.751526,0.0027135105,0.054491635,-0.051778127,0.7938561
5,0.2591996,0.6192733,4.1858473,-6.248291,0.03364149,0.0,0.9016,0.0,0.9016,-6.6468506,0.002655188,0.05671812,-0.05406293,0.7938125
6,0.25833002,0.64868295,4.14293,-7.608368,0.04078307,0.0,0.0,0.0,0.0,-8.834595,0.0027961563,0.053709283,-0.050913125,0.7937691
7,0.25774816,0.51501703,4.2548304,-6.571289,0.009117672,0.0,1.5150001,0.0873549,1.4276452,-7.391754,0.0023406595,0.05514616,-0.052805502,0.7937256
8,0.25701386,0.57868075,4.1829844,-5.2560425,0.03646935,0.0,0.0,0.0,0.0,-7.2941284,0.0021439046,0.05505702,-0.052913114,0.7936823
9,0.25674835,0.4157588,4.3275137,-7.088928,0.0,0.0,0.0,0.0,0.0,-8.595551,0.0019372804,0.05252681,-0.050589528,0.7936387
10,0.25605187,0.40332055,4.326146,-7.9558105,0.0,0.0,0.0,0.0,0.0,-8.952393,0.002673902,0.053259496,-0.050585594,0.7935953
11,0.25735626,0.43186927,4.3238897,-6.945099,0.0,0.0,0.70019996,0.49360594,0.20659405,-8.237305,0.0032215852,0.05327779,-0.050056204,0.7935518
12,0.2582497,0.41515303,4.3556037,-6.821045,0.0,0.0,0.0,0.0,0.0,-7.5908203,0.0020484577,0.052024595,-0.049976137,0.7935084
13,0.25818855,0.40053692,4.367885,-7.8533936,0.0,0.0,0.10020001,0.0,0.10020001,-8.6961975,0.002551159,0.051795658,-0.0492445,0.7934649
14,0.25738874,0.4118132,4.342877,-8.120392,0.00025464196,0.0,0.10020001,0.0,0.10020001,-8.559235,0.002006705,0.052645985,-0.05063928,0.7934215
15,0.25483993,0.85909957,3.8859696,-6.12796,0.1057858,0.0,0.0,0.0,0.0,-6.8750305,0.0023800773,0.05591438,-0.053534303,0.793378
16,0.25824192,0.7703545,4.029742,-7.2530823,0.076180145,0.0,0.4996,0.0048657604,0.49473423,-9.7164,0.0033201864,0.050143775,-0.046823587,0.7933346
17,0.25962508,0.42395073,4.3727612,-8.0589905,0.0,0.0,0.0,0.0,0.0,-9.947754,0.0022800888,0.048112273,-0.045832183,0.7932911
18,0.25910595,0.40313268,4.3823304,-6.8630676,0.0,0.0,1.0009999,0.41226965,0.58873034,-7.144684,0.002232187,0.053221792,-0.050989605,0.7932477
19,0.2588829,0.38554573,4.3943667,-8.571716,0.0,0.0,0.099999994,0.07288499,0.027114999,-9.938477,0.0023968867,0.047984038,-0.045587152,0.7932043
20,0.25874335,0.37232253,4.4039335,-10.961639,0.0,0.0,0.0,0.0,0.0,-12.244537,0.0025069413,0.044129103,-0.041622162,0.7931608
21,0.2590299,0.38260248,4.3997617,-8.688293,0.0,0.0,0.0,0.0,0.0,-9.519562,0.003118327,0.047869913,-0.044751585,0.7931175
22,0.2591085,0.4135396,4.372834,-7.836853,0.0,0.0,0.10020001,0.0,0.10020001,-8.536407,0.0026638398,0.051403396,-0.048739556,0.79307395
23,0.25859088,0.40259308,4.373379,-8.635864,0.0,0.0,0.70140004,0.0,0.70140004,-9.537872,0.0029535182,0.050106563,-0.047153044,0.7930306
24,0.25808346,0.37795633,4.386665,-8.161194,0.0,0.0,0.2996,0.0,0.2996,-9.166901,0.0033830723,0.050672192,-0.04728912,0.79298705
25,0.25830618,0.3841003,4.385115,-10.932648,0.0012153917,0.0,0.50100005,0.0,0.50100005,-12.58725,0.0028248844,0.045768596,-0.042943712,0.7929437
26,0.2638393,0.5665432,4.319293,-10.767395,0.040580083,0.0,0.0,0.0,0.0,-11.799225,0.0021723346,0.046806026,-0.04463369,0.7929003
27,0.2639271,0.92591417,3.9913597,-8.564911,0.12581828,0.0,0.0,0.0,0.0,-9.511353,0.002976851,0.049594425,-0.046617575,0.79285693
28,0.26584005,0.50303185,4.414226,-10.547211,0.01703179,0.0,0.0,0.0,0.0,-12.80072,0.0028876062,0.043832637,-0.04094503,0.7928134
29,0.26585883,0.41798037,4.492563,-10.121948,0.0,0.0,0.0,0.0,0.0,-12.140503,0.002783793,0.04414012,-0.041356325,0.79277
30,0.26539326,0.38702163,4.512414,-10.584137,0.0,0.0,0.0,0.0,0.0,-12.354034,0.0035869512,0.04447979,-0.04089284,0.7927267
31,0.26500413,0.3774782,4.514028,-8.557617,0.0,0.0,0.6996,0.0,0.6996,-9.79837,0.004783833,0.04942729,-0.044643458,0.79268324
32,0.26474068,0.4460042,4.4463587,-7.893738,0.0050238734,0.0,0.0,0.0,0.0,-8.920929,0.005939075,0.050862446,-0.044923373,0.79263985
33,0.26711196,0.5832876,4.363959,-9.291199,0.035451245,0.0,0.0,0.0,0.0,-9.76532,0.005035448,0.048907764,-0.043872315,0.79259634
34,0.2785211,0.9002075,4.282586,-8.189911,0.118126035,0.0,0.30020002,0.0,0.30020002,-7.7619934,0.0050138193,0.052142806,-0.047128987,0.79255307
35,0.28277826,0.5596527,4.6729517,-7.7322083,0.009617458,0.0,5.8062,0.15911546,5.6470847,-8.545929,0.0037523923,0.05133407,-0.047581676,0.7925096
36,0.28284502,0.44427794,4.779975,-11.697205,0.0,0.0,0.6042,0.0,0.6042,-14.509308,0.0027930127,0.039880697,-0.037087683,0.7924663
37,0.28257498,0.41337857,4.803357,-10.910736,0.0,0.0,1.1110001,0.0,1.1110001,-12.411652,0.0044474583,0.04249336,-0.038045898,0.7924229
38,0.2822614,0.39827198,4.8114586,-10.803131,0.0,0.0,1.2119999,0.0,1.2119999,-12.865784,0.0035542683,0.043196313,-0.039642043,0.79237944
39,0.28150827,0.39573,4.7999773,-10.932892,0.0,0.0,0.10100001,0.0,0.10100001,-14.468964,0.005023461,0.039974518,-0.034951057,0.792336
40,0.28069067,0.43382502,4.7500496,-10.380096,0.0,0.0,0.8016001,0.0,0.8016001,-13.931976,0.00404605,0.040256526,-0.036210477,0.7922927
41,0.28007475,0.42731968,4.744718,-10.171082,0.0,0.0,0.10100001,0.0,0.10100001,-13.178833,0.0035065277,0.04083796,-0.037331432,0.79224926
42,0.27962327,0.41829053,4.744718,-8.932526,0.0,0.0,0.0,0.0,0.0,-11.204102,0.0035139397,0.04451541,-0.04100147,0.7922059
43,0.2792093,0.39828673,4.7554693,-10.61792,0.0,0.0,1.4139999,0.0,1.4139999,-12.804108,0.0040768133,0.042549673,-0.03847286,0.79216254
44,0.27869767,0.3834689,4.759674,-12.073975,0.0,0.0,0.30299997,0.0,0.30299997,-15.244751,0.0046227584,0.038482472,-0.033859715,0.79211915
45,0.2781095,0.37612167,4.755625,-11.394257,0.0,0.0,0.0,0.0,0.0,-13.668884,0.0056473087,0.041205898,-0.03555859,0.7920758
46,0.27806196,0.42550912,4.709464,-9.7074585,0.002537403,0.0,0.0,0.0,0.0,-11.767853,0.004555736,0.043434605,-0.03887887,0.7920325
47,0.27796513,0.42751867,4.705846,-7.6340637,3.5456912e-06,0.0,0.0,0.0,0.0,-10.002045,0.0064950343,0.044446826,-0.03795179,0.7919891
48,0.27720794,0.4335301,4.6864467,-8.016266,0.0,0.0,0.0,0.0,0.0,-10.192902,0.0063683367,0.044411175,-0.03804284,0.7919457
49,0.27675998,0.41091356,4.6989703,-7.7518005,0.0,0.0,0.30060005,0.0,0.30060005,-10.154938,0.0043241563,0.045571145,-0.041246988,0.79190236
50,0.27663782,0.40657106,4.7007117,-8.074829,0.0,0.0,0.0,0.0,0.0,-11.804382,0.0051105344,0.042469885,-0.03735935,0.79185903
51,0.2753369,0.5341162,4.5598936,-7.0592346,0.028546954,0.0,0.7042,0.10020001,0.60400003,-9.51712,0.005550806,0.045569487,-0.04001868,0.79181564
52,0.27364734,0.44867975,4.607253,-6.6157227,0.0026314964,0.0,0.29940003,0.0,0.29940003,-8.315369,0.006400925,0.048464645,-0.04206372,0.79177225
53,0.2733256,0.42530912,4.6227827,-5.460205,0.0,0.0,0.0,0.0,0.0,-6.569458,0.006428829,0.051007446,-0.044578616,0.79172885
54,0.27293894,0.5973988,4.4578853,-4.0190735,0.029960101,0.0,0.60239995,0.0,0.60239995,-3.0933533,0.007078816,0.05738916,-0.050310344,0.79168546
55,0.27812344,0.9547435,4.225284,-3.8709412,0.08861298,0.0,3.6080003,0.3047465,3.3032537,-4.505371,0.0070256367,0.056668214,-0.049642578,0.7916422
56,0.28383982,0.84937304,4.4267473,-3.229187,0.058080297,0.0,0.0,0.0,0.0,-7.6553955,0.005871256,0.050503194,-0.04463194,0.7915988
