,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.38935947,1.7675028,5.5200524,-3.5687866,0.1487981,0.0,0.251,0.0,0.251,-9.950592,0.0020456316,0.0594394,-0.057393767,0.9520964
1,0.38457584,1.1038933,6.0408506,-5.9148865,0.07972087,0.0,0.0,0.0,0.0,-13.40979,0.0020681426,0.051283546,-0.049215402,0.9544562
2,0.38890165,0.6419245,6.543812,-6.3062134,8.6785374e-05,0.0,0.0,0.0,0.0,-11.017487,0.0021630388,0.05665943,-0.054496393,0.95441794
3,0.38778418,0.6016698,6.5602303,-5.3711243,0.0,0.0,0.0,0.0,0.0,-9.464142,0.0024450002,0.05993423,-0.057489228,0.95401955
4,0.3865465,0.618554,6.522049,-3.7511597,0.005465538,0.0,0.0,0.0,0.0,-8.162689,0.002677818,0.06261507,-0.05993725,0.95396715
5,0.38564062,0.72312176,6.409547,-3.0484314,0.014028336,0.0,0.9,0.0,0.9,-7.4153137,0.0026184665,0.06429227,-0.0616738,0.95391494
6,0.38493794,0.70017123,6.4177055,-4.1390686,0.004437556,0.0,0.0,0.0,0.0,-8.793671,0.002560093,0.061774414,-0.05921432,0.9538627
7,0.3844407,0.67510176,6.4315734,-4.304474,0.0024251223,0.0,0.10040001,0.01356404,0.086835966,-7.4985046,0.002445712,0.06344409,-0.06099838,0.9538105
8,0.38620088,0.73867095,6.4055634,-3.317627,0.016749525,0.0,0.0,0.0,0.0,-7.6401367,0.0018525124,0.06407638,-0.062223867,0.9537583
9,0.3863123,0.6011847,6.533681,-5.941986,0.0,0.0,0.0,0.0,0.0,-9.666626,0.001927924,0.05849295,-0.056565028,0.9537061
10,0.38587874,0.5889193,6.536977,-7.394409,0.0,0.0,0.0,0.0,0.0,-9.774139,0.0029881806,0.059792086,-0.056803904,0.9536539
11,0.386614,0.60504186,6.5356774,-6.2092285,0.0,0.0,1.0849999,0.26819828,0.81680167,-9.554443,0.0026471722,0.059548877,-0.056901705,0.9536016
12,0.3886482,0.6254489,6.5542717,-3.8330383,0.0,0.0,0.0,0.0,0.0,-8.721283,0.0023108106,0.05930019,-0.05698938,0.95354944
13,0.38839498,0.5907883,6.581411,-4.059601,0.0,0.0,0.1004,0.0,0.1004,-8.955963,0.0033547338,0.059686437,-0.0563317,0.95349723
14,0.38716543,0.616804,6.5350046,-5.016876,0.0,0.0,0.1004,0.0,0.1004,-9.171783,0.0021969036,0.060054034,-0.05785713,0.953445
15,0.38776392,0.66766536,6.4993415,-4.516144,0.014117566,0.0,0.6018,0.0,0.6018,-7.700287,0.0025417337,0.06303847,-0.060496736,0.9533928
16,0.39631632,0.766234,6.5658045,-5.400421,0.031090712,0.0,0.0,0.0,0.0,-10.330475,0.0021839903,0.056642767,-0.05445878,0.95334065
17,0.39694127,0.5839773,6.744396,-6.061157,0.0,0.0,0.0,0.0,0.0,-10.960541,0.0019245374,0.05395099,-0.052026454,0.95328844
18,0.3965492,0.5608985,6.758368,-5.9146423,0.0,0.0,0.60239995,0.0,0.60239995,-8.102295,0.0020328797,0.060418844,-0.058385964,0.9532362
19,0.3961552,0.5295199,6.7799163,-7.5455017,0.0,0.0,0.1004,0.0,0.1004,-10.389313,0.001847135,0.055239905,-0.053392768,0.95318395
20,0.39624912,0.5213911,6.789094,-9.201538,0.0,0.0,0.0,0.0,0.0,-12.060577,0.0026600873,0.0527742,-0.05011411,0.95313174
21,0.39605924,0.5312104,6.7766066,-7.5387573,0.0,0.0,0.0,0.0,0.0,-10.101837,0.0026928482,0.0564496,-0.05375675,0.9530795
22,0.3966717,0.5693885,6.7528296,-6.9325867,0.0,0.0,0.296,0.0,0.296,-9.303619,0.0023768735,0.058443647,-0.056066774,0.95302737
23,0.3964128,0.55323476,6.7628946,-7.6009827,0.0,0.0,1.3018,0.0,1.3018,-10.126495,0.0027233334,0.056500856,-0.053777523,0.9529753
