,site,plot,tag,species,dbh,high.rep,molecular,longitude,latitude,time.point,days_elapsed,years_elapsed,litterMass,dowelMass,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,k_litter,VWC,pH,WHC,SIR,soil.N,soil.C,soil.CN,litter.d15N,litter.d13C,litter.N,litter.C,litter.CN,lignin.N
1,BART,1,1,ACRU,41.7,FALSE,FALSE,-71.29020112,44.06426246,1,299,0.819178082,4.150644338,2.194004509,1.336622427,24.35861941,0.010995491,0.498661708,0.340788769,20.06666667,4.54,0.644219816,10.36437683,0.588922581,14.15892477,24.04208163,0.5,-28.4,0.4,48.7,121.75,38.25
2,BART,1,3,ACRU,41.7,FALSE,FALSE,-71.29020112,44.06426246,2,649,1.778082192,3.5744,1.8541,1.97964095,35.64325448,0.5849,23.98113981,0.2478673,20.06666667,4.54,0.644219816,10.36437683,0.588922581,14.15892477,24.04208163,0.5,-28.4,0.4,48.7,121.75,38.25
3,BART,2,77,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,2,630,1.726027397,3.6316,0.7012,2.484490758,40.62220226,1.8728,72.75835276,0.301993935,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
4,BART,2,76,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,2,630,1.726027397,2.836,0.7576,3.261013744,53.4854255,1.3574,64.17966903,0.443448635,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
5,BART,2,75,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,1,280,0.767123288,4.867877139,2.385504213,1.213874994,19.95929738,-0.000504213,-0.021141021,0.290220492,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
6,BART,2,73,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,2,630,1.726027397,3.5238,1.6479,2.592290758,42.38476603,0.5121,23.70833333,0.319452157,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
7,BART,2,70,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,2,630,1.726027397,2.9494,0.594,3.120905924,51.41266294,1.575,72.61410788,0.418189911,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
8,BART,2,69,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,1,280,0.767123288,4.833738177,2.175916217,1.282352581,20.96686645,0.083083783,3.677900987,0.30673428,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
9,BART,2,68,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,1,280,0.767123288,5.113056913,2.172795698,1.02211086,16.65986812,-0.057795698,-2.73265711,0.237562828,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
10,BART,2,67,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,2,630,1.726027397,3.2251,0.4307,2.864282938,47.03732656,1.8553,81.1592301,0.368234477,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
11,BART,2,20,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,2,630,1.726027397,3.354159093,1.37848035,2.826793513,45.73394577,0.76351965,35.64517508,0.354149249,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
12,BART,2,21,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,1,280,0.767123288,3.962077048,2.352121246,2.199798545,35.70014538,0.104878754,4.268569547,0.575673849,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
13,BART,2,14,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,1,280,0.767123288,4.845453829,2.162800453,1.312606361,21.31525708,0.015199547,0.69786719,0.312493333,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
14,BART,2,13,FAGR,36.4,TRUE,TRUE,-71.28971358,44.06390482,1,280,0.767123288,5.134806515,2.258349286,0.939314812,15.46420892,0.000650714,0.028805408,0.218993715,20.32222222,4.34,0.719431608,11.91453882,0.960423619,23.83442934,24.81657975,-1.4,-29,0.6,47.6,79.33333333,39.83333333
